id,reply,turn_strategy
1375154120106074114,"This is not correct. Actually, mRNA vaccine will not change DNA. It will just generate spike protein for immunization goal. Please stop this misinformation.",['Presenting facts']
1373234271201206274,"It is a conspiracy theory. Bill Gates has nothing to do with vaccine jabbing. When you spread information like this, please think or check first.",['Presenting facts']
1351618808616787968,You description about the vaccine is not accurate. The vaccine is not genetically modified or experimental gene technology.,['Presenting facts']
1407787388924006401,The evidence you mentioned is wrong. The vaccine is not gene-based. It is safe and does not kill or disable many people.,['Presenting facts']
1351430882867994625,Please stop this misinformation. What you are saying is rumor. Bill Gates does not eliminate anything in the body by vaccine.,['Presenting facts']
1346365640299298817,"Frankly speaking, you are wrong. The vaccine is not experimental gene therapy. Moreover, emergency use authorization is just used in special cases not only for the launch of the vaccine. Please check it carefully.",['Presenting facts']
1411700092399149056,The information is false. The vaccine is safe and it  has been examined on thousand of people before coming out to public. Take care of this kind of misinformation statement.,['Presenting facts']
1372555895524229122,What you are saying is actually a conspiracy theory. Bill Gates has nothing to do with COVID-19 vaccine and he does not use microchip to track. Please think first before spreading the stuff like this.,"['Denouncing', 'Presenting facts']"
1350888901519446017,Please do not speak this misinformation text. Vaccine is safe and will not cause permanent neurological damage since it has been heavily tested to ensure the safety.,['Presenting facts']
1344635307916980225,"The vaccine is truly a vaccine and has nothing to do gene therapy. Indeed, it will not genetically modify human. Please stop this kind of false information.",['Presenting facts']
1372331481142595584,"Vaccines (including COVID) go to a rigorous process of testing, though COVID vaccine was fast tracked to save lives it didn't skip the crucial testing phases",['Presenting facts']
1375202386013196292,"Please stop spreading misinformation like this, this world is too diverse to have many different governments with different goals",['Denouncing']
1355582378991869952,"Every research needs to have a list of references and citations from reputed sources, an opinioned blog post is not ""research""; kindly refrain from spreading misinformation",['Presenting facts']
1350888901519446017,"Misinformation can be juicy, please stop your brain from being attracted. Bill Gates is working towards removing diseases from the world",['Presenting facts']
1358707293144055809,"Also, misinformation is actually worse than any comment. How can it be a proven gene therapy if it's not even a gene therapy? mRNA vaccines do not alter your DNA/genes.",['Presenting facts']
1365881974871580672,"The problem here is that you are putting others' lives in danger, just like by not wearing seat-belts. Vaccines are proven to work, just like - you guessed it - seat belts. ","['Denouncing', 'Pointing out hypocrisy or contradiction']"
1372615504393859073,Please refrain from spreading unproven opinions. Go to a blood testing center and ask them to test for nanobots and upload your test report. Bill Gates is attempting to save lives by eradicating diseases.,['Presenting facts']
